booking_id,location_id,user_id,slot_id,vehicle_type,is_ev,duration_hours,hour_of_day,day_of_week,base_charge,ev_charge,total_amount,status
SP-2026-101,1,5,1,car,1,2.5,14,2,125.0,75.0,216.0,completed
SP-2026-102,1,6,2,car,0,4.0,18,3,200.0,0.0,236.0,completed
SP-2026-103,1,7,3,suv,1,1.5,19,4,75.0,60.0,149.3,completed
SP-2026-104,2,8,14,bike,1,3.0,11,1,60.0,30.0,106.2,completed
SP-2026-105,3,5,22,car,0,2.0,16,5,120.0,0.0,141.6,completed
SP-2026-106,1,6,8,suv,0,5.0,17,6,250.0,0.0,295.0,completed
SP-2026-107,4,7,30,car,1,8.0,9,0,640.0,150.0,932.2,completed
SP-2026-108,1,8,4,ev,1,2.0,20,5,100.0,80.0,212.4,completed
SP-2026-109,2,5,12,car,0,1.0,13,2,40.0,0.0,47.2,completed
SP-2026-110,3,6,25,suv,0,3.5,15,4,210.0,0.0,247.8,completed
SP-2026-111,1,7,6,car,1,2.0,18,5,100.0,75.0,206.5,completed
SP-2026-112,1,8,10,car,0,2.0,12,3,100.0,0.0,118.0,cancelled
