location_id,hour_of_day,day_of_week,is_weekend,is_holiday,temperature_c,rainfall_mm,occupancy_pct
1,6,1,0,0,26.5,0.0,22.4
1,7,1,0,0,27.2,0.0,38.5
1,8,1,0,0,28.4,0.0,64.2
1,9,1,0,0,30.1,0.0,78.9
1,10,1,0,0,31.5,0.0,81.0
1,11,1,0,0,32.2,0.0,74.5
1,12,1,0,0,33.0,0.0,76.8
1,13,1,0,0,33.4,0.0,79.2
1,14,1,0,0,32.8,0.0,71.0
1,15,1,0,0,32.0,0.0,68.4
1,16,1,0,0,31.2,0.0,72.1
1,17,1,0,0,30.0,0.0,84.5
1,18,1,0,0,29.1,0.0,91.2
1,19,1,0,0,28.5,0.0,93.4
1,20,1,0,0,28.0,0.0,87.0
1,21,1,0,0,27.5,0.0,68.2
1,22,1,0,0,27.0,0.0,45.0
1,23,1,0,0,26.5,0.0,28.0
1,18,6,1,0,29.0,0.0,96.5
1,19,6,1,0,28.2,0.0,98.2
1,20,6,1,0,27.8,0.0,94.0
1,18,0,1,0,29.4,0.0,89.0
1,19,0,1,0,28.6,0.0,91.5
